date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:43:23	27400/27400	---M--	200	added ('OK')	text/html	etag:%224157893%22	http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap18A-013.htm	/Users/luki/websites/Linux-UNIX-Programmierung/openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap18A-013.html	(from http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/)
21:43:25	24487/24487	---M--	200	added ('OK')	text/html	etag:%221950312917%22	http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap18A-014.htm	/Users/luki/websites/Linux-UNIX-Programmierung/openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap18A-014.html	(from http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/)
21:43:27	24660/24660	---M--	200	added ('OK')	text/html	etag:%22138373449%22	http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap18A-015.htm	/Users/luki/websites/Linux-UNIX-Programmierung/openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap18A-015.html	(from http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/)
21:43:27	24407/24407	---M--	200	added ('OK')	text/html	etag:%222084530629%22	http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap18A-016.htm	/Users/luki/websites/Linux-UNIX-Programmierung/openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap18A-016.html	(from http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/)
21:43:29	53526/53526	---M--	200	added ('OK')	text/html	etag:%221949847937%22	http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap18B-001.htm	/Users/luki/websites/Linux-UNIX-Programmierung/openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap18B-001.html	(from http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/)
21:43:31	32441/32441	---M--	200	added ('OK')	text/html	etag:%22138303949%22	http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap18B-002.htm	/Users/luki/websites/Linux-UNIX-Programmierung/openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap18B-002.html	(from http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/)
21:43:33	43313/43313	---M--	200	added ('OK')	text/html	etag:%22741953543%22	http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap18B-003.htm	/Users/luki/websites/Linux-UNIX-Programmierung/openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap18B-003.html	(from http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/)
21:43:35	27256/27256	---M--	200	added ('OK')	text/html	etag:%221077899343%22	http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap18B-004.htm	/Users/luki/websites/Linux-UNIX-Programmierung/openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap18B-004.html	(from http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/)
21:43:37	35331/35331	---M--	200	added ('OK')	text/html	etag:%22876503043%22	http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap18B-005.htm	/Users/luki/websites/Linux-UNIX-Programmierung/openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap18B-005.html	(from http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/)
21:43:39	22642/22642	---M--	200	added ('OK')	text/html	etag:%22-1606461108%22	http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap18B-006.htm	/Users/luki/websites/Linux-UNIX-Programmierung/openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap18B-006.html	(from http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/)
